,model,theme,success_rate,success_rate_lower,success_rate_upper
0,o3,Communication quality,0.6637237637736838,0.6505664627679174,0.6768810647794502
1,Llama 4 Maverick,Communication quality,0.6842521151357621,0.6727281634804154,0.6957760667911088
2,Llama 4 Scout,Communication quality,0.6550777153707439,0.6436871558385886,0.6664682749028992
3,Llama 3.3 70B,Communication quality,0.6327860159881992,0.6204422230944263,0.645129808881972
4,o3,Instruction following,0.6327772377183217,0.6155106180770304,0.650043857359613
5,Llama 4 Maverick,Instruction following,0.4867653425344681,0.4691755943211516,0.5043550907477846
6,Llama 4 Scout,Instruction following,0.47734644322597564,0.45984983031068,0.4948430561412713
7,Llama 3.3 70B,Instruction following,0.4898058152163475,0.4717748660436574,0.5078367643890376
8,o3,Accuracy,0.6933833801216643,0.6865535091094561,0.7002132511338726
9,Llama 4 Maverick,Accuracy,0.4168609965499118,0.409133142752987,0.42458885034683663
10,Llama 4 Scout,Accuracy,0.38052779248923424,0.37220566609825106,0.3888499188802174
11,Llama 3.3 70B,Accuracy,0.3706894284625839,0.36280739306274207,0.37857146386242574
12,o3,Context awareness,0.4028149165785359,0.39189088099049113,0.4137389521665807
13,Llama 4 Maverick,Context awareness,0.26740060127376786,0.25634838802338844,0.2784528145241473
14,Llama 4 Scout,Context awareness,0.2483941362292252,0.23692421317483445,0.259864059283616
15,Llama 3.3 70B,Context awareness,0.24348052842833062,0.2316025215554963,0.255358535301165
16,o3,Completeness,0.6204299230250587,0.6129566981386596,0.6279031479114578
17,Llama 4 Maverick,Completeness,0.1012201313667018,0.09241058260495122,0.11002968012845238
18,Llama 4 Scout,Completeness,0.11400935681430399,0.10491503569618477,0.12310367793242322
19,Llama 3.3 70B,Completeness,0.11042926994374457,0.10163198948359414,0.11922655040389499
20,o3,,0.5958077443136619,,
21,Llama 4 Maverick,,0.2644453263556478,,
22,Llama 4 Scout,,0.24881722145557036,,
23,Llama 3.3 70B,,0.24578115187151656,,
