judge_id,candidate_id,case_id,run_index,correct_diagnosis_index
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2211421,0,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2309498,0,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2300974,1,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2100279,2,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2300900,0,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2100279,1,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2211422,1,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2300900,0,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2211421,0,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2309348,0,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2300897,1,0
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2100279,0,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2309382,0,0
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc1909622,2,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2309382,0,0
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc1909622,2,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2211421,2,
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2211422,1,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2309383,0,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2211422,1,1
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2300972,0,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2211421,1,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2300897,2,0
gpt-5-2025-08-07,llama-3.1-8b-instant,NEJMcpc2300972,1,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2300897,1,0
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2211422,2,
gpt-5-2025-08-07,meta-llama/llama-4-scout-17b-16e-instruct,NEJMcpc2301033,1,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc1909622,2,0
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2309348,0,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2309498,0,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2301033,0,0
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2309498,0,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2300972,2,
gpt-5-2025-08-07,llama-3.3-70b-versatile,NEJMcpc2300970,1,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2300900,2,0
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2301033,1,
gpt-5-2025-08-07,meta-llama/llama-4-maverick-17b-128e-instruct,NEJMcpc2309498,1,
gpt-5-2025-08-07,o3-2025-04-16,NEJMcpc2309382,0,
